geocode,legal_description,total_market_land,last_modified,property_address,sub_category,subdivision,owners__0,land_value,building_value,yoY_difference,market_land_details__0,market_land_details__1,market_land_details__2,market_land_details__4,other_building_details__0,other_building_details__1,other_building_details__2,other_building_details__4,other_building_details__5,other_building_details__8,other_building_details__9,other_building_details__10,other_building_details__12,other_building_details__13,other_building_details__16,other_building_details__17,other_building_details__18,other_building_details__20,other_building_details__21,other_building_details__24,other_building_details__25,other_building_details__26,other_building_details__28,other_building_details__29,other_building_details__32,other_building_details__33,other_building_details__34,other_building_details__36,other_building_details__37,other_building_details__40,other_building_details__41,other_building_details__42,other_building_details__44,other_building_details__45,other_building_details__48,other_building_details__49,other_building_details__50,other_building_details__52,other_building_details__53,building_details__3,building_details__4,building_details__5,building_details__6,building_details__8,building_details__10,building_details__11,building_details__12,building_details__14,building_details__15,building_details__16,building_details__17,building_details__18,other_building_details__56,other_building_details__57,other_building_details__58,other_building_details__60,other_building_details__61,building_details__7,building_details__9,building_details__13,building_details__19,other_building_details__64,other_building_details__65,other_building_details__66,other_building_details__68,other_building_details__69,other_building_details__72,other_building_details__73,other_building_details__74,other_building_details__76,other_building_details__77,other_building_details__80,other_building_details__81,other_building_details__82,other_building_details__84,other_building_details__85,market_land_details__6,market_land_details__7,market_land_details__8,market_land_details__10,building_details__20
03-1033-21-1-10-34-7000,"49ER CONDO PHASE II, S21, T01 N, R26 E, MASTER CARD LOC @ LT 10 BLK 1B EAGLES NEST SUB AMD",0.298,10/6/2023 1:55:41 AM,,Condo/Townhouse Master,49ER CONDO PHASE II,11/6/2007 9:25:03 PM,100318,0,29167,Primary Site,   ,   ,100318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-1033-21-1-10-34-7001,"49ER CONDO PHASE II, S21, T01 N, R26 E, UNIT 201, 25% COMMON AREA INTEREST, LOC @ LT 10 BLK 1B EAGLES NEST SUB AMD",0.033,10/6/2023 1:55:41 AM,,Residential Property,49ER CONDO PHASE II,6/26/2014 10:21:34 AM,49182,154818,69800,Primary Site,   ,   ,24102,RPA2 - Concrete,A,3501,540,  ,"RRG3 - Garage, frame, detached, unfinished",5,3501,  ,  ,RPA2 - Concrete,A,3501,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-1033-21-1-10-34-7002,"49ER CONDO PHASE II, S21, T01 N, R26 E, UNIT 203, 25% COMMON AREA INTEREST, LOC @ LT 10 BLK 1B EAGLES NEST SUB AMD",0.033,10/6/2023 1:55:41 AM,,Residential Property,49ER CONDO PHASE II,6/26/2014 10:21:34 AM,49182,154818,69800,Primary Site,   ,   ,24102,RPA2 - Concrete,A,3501,540,  ,"RRG3 - Garage, frame, detached, unfinished",5,3501,  ,  ,RPA2 - Concrete,A,3501,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-1033-21-1-10-34-7004,"49ER CONDO PHASE II, S21, T01 N, R26 E, UNIT 207, 25% COMMON AREA INTEREST, LOC @ LT 10 BLK 1B EAGLES NEST SUB AMD",0.033,10/6/2023 1:55:41 AM,,Residential Property,49ER CONDO PHASE II,6/26/2014 10:21:34 AM,49182,154818,69800,Primary Site,   ,   ,24102,RPA2 - Concrete,A,3501,540,  ,"RRG3 - Garage, frame, detached, unfinished",5,3501,  ,  ,RPA2 - Concrete,A,3501,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-1033-21-1-10-34-7003,"49ER CONDO PHASE II, S21, T01 N, R26 E, UNIT 205, 25% COMMON AREA INTEREST, LOC @ LT 10 BLK 1B EAGLES NEST SUB AMD",0.033,10/6/2023 1:55:41 AM,,Residential Property,49ER CONDO PHASE II,6/25/2013 12:52:01 PM,49182,154818,69800,Primary Site,   ,   ,24102,RPA2 - Concrete,A,3501,540,  ,"RRG3 - Garage, frame, detached, unfinished",5,3501,  ,  ,RPA2 - Concrete,A,3501,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-1032-33-2-16-06-7001,"3 I'S, S33, T01 N, R25 E, UNIT 1, 33.33% COMMON AREA INTEREST, LOC @ TR A COS 2479",0.864,10/6/2023 1:55:41 AM,,Residential Property,3 I'S PATIO HOMES (06),8/1/2023 3:49:18 PM,212751,994849,109400,Primary Site,   ,   ,185810,"RRG2 - Garage masonry, detached, finished",8,3501,1344,  ,"RRT4 - Deck, stone/tile w/concrete base",G,3501,1116,  ,"RBQ1 - Barbecue, outdoor, brick/stone",G,3501,  ,  ,RPA2 - Concrete,A,3501,5892,  ,RRZ1 - Gazebo,G,3501,560,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-1032-33-2-16-06-7002,"3 I'S, S33, T01 N, R25 E, UNIT 2, 33.33% COMMON AREA INTEREST, LOC @ TR A COS 2479",0.864,10/6/2023 1:55:41 AM,,Residential Property,3 I'S PATIO HOMES (06),1/6/2009 2:48:02 PM,212751,1133249,124100,Primary Site,   ,   ,185810,"RRP3 - Pool, concrete, residential",G,3501,  ,  ,"RRG2 - Garage masonry, detached, finished",8,3501,1148,  ,"RBQ1 - Barbecue, outdoor, brick/stone",G,3501,  ,  ,"RRT4 - Deck, stone/tile w/concrete base",G,3501,280,  ,"RRS3 - Shed, residential, masonry",G,3501,160,  ,RPA2 - Concrete,G,3501,939,  ,RPA2 - Concrete,A,3501,1050,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-1032-33-2-16-06-7000,"3 I'S, S33, T01 N, R25 E, MASTERCARD   (06) LOC @ TR A COS 2479",0.295,10/6/2023 1:55:41 AM,,Condo/Townhouse Master,3 I'S PATIO HOMES (06),11/6/2007 9:25:03 PM,81640,0,15268,Primary Site,   ,   ,81640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-1032-33-2-16-06-7003,"3 I'S, S33, T01 N, R25 E, UNIT 3, 33.34% COMMON AREA INTEREST, LOC @ TR A COS 2479",0.897,10/6/2023 1:55:41 AM,,Residential Property,3 I'S PATIO HOMES (06),8/27/2008 11:00:20 AM,217591,1080509,187400,Primary Site,   ,   ,189833,RPA2 - Concrete,G,3501,3061,  ,RPA2 - Concrete,G,3501,416,  ,RPA2 - Concrete,G,3501,230,  ,"RRG3 - Garage, frame, detached, unfinished",7,3501,448,  ,"RBQ1 - Barbecue, outdoor, brick/stone",G,3501,  ,  ,"RRP2 - Pool, fiberglass, residential",A,3501,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0926-03-2-09-18-0000,"ALDINGER ACRES SUBD 3RD FILING, S03, T01 S, R25 E, BLOCK 3, Lot 9",0.481,10/6/2023 1:55:41 AM,,Residential Property,ALDINGER ACRES SUBD 3RD FILING,11/6/2007 9:25:03 PM,81270,423130,111600,Primary Site,   ,0.481,81270,RPA2 - Concrete,A,3301,2379,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0926-03-2-09-10-0000,"ALDINGER ACRES SUBD 3RD FILING, S03, T01 S, R25 E, BLOCK 3, Lot 5",0.461,10/6/2023 1:55:41 AM,,Residential Property,ALDINGER ACRES SUBD 3RD FILING,11/6/2007 9:25:03 PM,79697,343103,73200,Primary Site,   ,0.461,79697,RPA2 - Concrete,A,3301,1295,  ,RPA2 - Concrete,A,3301,108,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0926-03-2-10-24-0000,"ALDINGER ACRES SUBD 3RD FILING, S03, T01 S, R25 E, BLOCK 2, Lot 12",0.465,10/6/2023 1:55:41 AM,,Residential Property,ALDINGER ACRES SUBD 3RD FILING,12/19/2017 4:52:22 PM,80015,404385,92700,Primary Site,   ,0.465,80015,RPA1 - Asphalt,A,3301,550,  ,RPA2 - Concrete,A,3301,1078,  ,"RRS1 - Shed, Frame",A,3301,200,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0926-03-2-10-28-0000,"ALDINGER ACRES SUBD 3RD FILING, S03, T01 S, R25 E, BLOCK 2, Lot 14",0.460,10/6/2023 1:55:41 AM,,Residential Property,ALDINGER ACRES SUBD 3RD FILING,11/6/2007 9:25:03 PM,79618,401982,119200,Primary Site,   ,0.46,79618,RPA2 - Concrete,A,3301,1694,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0926-03-2-10-16-0000,"ALDINGER ACRES SUBD 3RD FILING, S03, T01 S, R25 E, BLOCK 2, Lot 8",0.464,10/6/2023 1:55:41 AM,,Residential Property,ALDINGER ACRES SUBD 3RD FILING,5/2/2023 8:41:24 AM,79936,356564,78300,Primary Site,   ,0.464,79936,RPA2 - Concrete,A,3301,1796,  ,RPA2 - Concrete,A,3301,514,  ,"RRS1 - Shed, Frame",G,3301,216,  ,"RRS1 - Shed, Frame",G,3301,280,  ,"RRG1 - Garage, frame, detached, finished",5,3301,  ,  ,RPA2 - Concrete,A,3301,1827,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0926-03-2-10-18-0000,"ALDINGER ACRES SUBD 3RD FILING, S03, T01 S, R25 E, BLOCK 2, Lot 9",0.464,10/6/2023 1:55:41 AM,,Residential Property,ALDINGER ACRES SUBD 3RD FILING,11/6/2007 9:25:03 PM,79936,400064,102800,Primary Site,   ,0.464,79936,"RRG1 - Garage, frame, detached, finished",6,3301,1432,  ,RPA2 - Concrete,A,3301,1800,  ,"RRS1 - Shed, Frame",A,3301,80,  ,RPA2 - Concrete,G,3301,400,  ,RPA2 - Concrete,A,3301,985,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0926-03-2-09-14-0000,"ALDINGER ACRES SUBD 3RD FILING, S03, T01 S, R25 E, BLOCK 3, Lot 7A, AMND LT 7-8",0.462,10/6/2023 1:55:41 AM,,Residential Property,ALDINGER ACRES SUBD 3RD FILING,11/6/2007 9:25:03 PM,79777,380823,104300,Primary Site,   ,0.462,79777,RPA2 - Concrete,A,3301,1536,  ,RPA2 - Concrete,G,3301,500,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0926-03-2-10-22-0000,"ALDINGER ACRES SUBD 3RD FILING, S03, T01 S, R25 E, BLOCK 2, Lot 11",0.465,10/6/2023 1:55:41 AM,,Residential Property,ALDINGER ACRES SUBD 3RD FILING,1/25/2022 12:42:33 PM,80015,381185,85300,Primary Site,   ,0.465,80015,RPA2 - Concrete,A,3301,2205,  ,RPA2 - Concrete,A,3301,1520,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0926-03-2-09-16-0000,"ALDINGER ACRES SUBD 3RD FILING, S03, T01 S, R25 E, BLOCK 3, Lot 8A, AMND LT 7-8",0.484,10/6/2023 1:55:41 AM,,Residential Property,ALDINGER ACRES SUBD 3RD FILING,11/6/2007 9:25:03 PM,81503,400197,150000,Primary Site,   ,0.484,81503,RPA2 - Concrete,A,3301,1680,  ,RPA2 - Concrete,A,3301,160,  ,"RRS1 - Shed, Frame",A,3301,120,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0926-03-2-09-08-0000,"ALDINGER ACRES SUBD 3RD FILING, S03, T01 S, R25 E, BLOCK 3, Lot 4",0.461,10/6/2023 1:55:41 AM,,Residential Property,ALDINGER ACRES SUBD 3RD FILING,7/10/2018 2:43:10 PM,79697,418403,78100,Primary Site,   ,0.461,79697,RPA2 - Concrete,A,3301,1152,  ,RPA2 - Concrete,A,3301,348,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0926-03-2-09-04-0000,"ALDINGER ACRES SUBD 3RD FILING, S03, T01 S, R25 E, BLOCK 3, Lot 2",0.460,10/6/2023 1:55:41 AM,,Residential Property,ALDINGER ACRES SUBD 3RD FILING,11/6/2007 9:25:03 PM,79618,355782,80300,Primary Site,   ,0.46,79618,RPA2 - Concrete,A,3301,1788,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
